epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2761,2.75689,3.67933,1.70587,0.00844,0.27536,0.00269,0.00055,2.93571,3.64898,1.61417,0.00032,0.00032,0.00032
2,11.7245,2.66251,2.79969,1.43745,0.01711,0.55797,0.02284,0.00881,2.54564,3.33223,1.57855,0.000651833,0.000651833,0.000651833
3,13.0436,2.69658,2.27327,1.4453,0.02111,0.68841,0.18423,0.05623,2.6893,3.00889,1.45381,0.00097525,0.00097525,0.00097525
4,14.3507,2.6333,2.00233,1.42748,0.30706,0.14493,0.12618,0.02575,3.06809,2.92801,1.66513,0.00129025,0.00129025,0.00129025
5,15.6493,2.51499,2.07364,1.48,0.37631,0.06522,0.14939,0.03687,2.97779,2.65746,1.64916,0.00159684,0.00159684,0.00159684
6,16.9802,2.46611,1.95252,1.40796,0.24517,0.2029,0.11757,0.03302,3.13523,2.63159,1.75749,0.00187625,0.00187625,0.00187625
7,18.293,2.44462,1.91749,1.44657,0.37222,0.22343,0.1983,0.05539,2.95355,2.18179,1.66729,0.0018515,0.0018515,0.0018515
8,19.5876,2.35471,1.87974,1.42181,0.25725,0.26855,0.17403,0.04702,2.91334,2.16776,1.63176,0.00182675,0.00182675,0.00182675
9,20.9756,2.40546,1.83685,1.42668,0.22045,0.24638,0.12284,0.03548,2.99119,2.81432,1.707,0.001802,0.001802,0.001802
10,22.2731,2.38024,1.75485,1.37076,0.42273,0.28986,0.22737,0.0541,2.75687,2.49842,1.54395,0.00177725,0.00177725,0.00177725
11,23.5815,2.32749,1.70958,1.3651,0.56803,0.42754,0.40454,0.1331,2.36551,1.8016,1.43836,0.0017525,0.0017525,0.0017525
12,24.8613,2.40528,1.69527,1.37517,0.5178,0.4591,0.4184,0.14399,2.39534,1.85233,1.47056,0.00172775,0.00172775,0.00172775
13,26.1349,2.35744,1.71062,1.36899,0.40722,0.52899,0.39309,0.14607,2.3494,1.85069,1.4518,0.001703,0.001703,0.001703
14,27.3983,2.42639,1.7165,1.38226,0.42619,0.42029,0.36116,0.13129,2.47433,1.99674,1.48522,0.00167825,0.00167825,0.00167825
15,28.6614,2.39832,1.62734,1.36358,0.53543,0.46377,0.38464,0.13388,2.34288,1.77923,1.43087,0.0016535,0.0016535,0.0016535
16,29.9134,2.42786,1.73185,1.38072,0.48985,0.43478,0.34842,0.11667,2.42526,1.68405,1.46903,0.00162875,0.00162875,0.00162875
17,31.2609,2.35181,1.62395,1.37492,0.45754,0.48551,0.42436,0.13899,2.43239,1.65192,1.49822,0.001604,0.001604,0.001604
18,32.5377,2.30171,1.58972,1.34237,0.70771,0.40356,0.48683,0.16108,2.31933,1.6008,1.41915,0.00157925,0.00157925,0.00157925
19,33.8311,2.28837,1.60781,1.31159,0.53421,0.41304,0.37971,0.1402,2.33721,1.73686,1.43012,0.0015545,0.0015545,0.0015545
20,35.1071,2.29734,1.56302,1.34558,0.57455,0.46972,0.44544,0.14811,2.3672,1.67919,1.44951,0.00152975,0.00152975,0.00152975
21,36.3801,2.282,1.53783,1.36086,0.59346,0.51835,0.47981,0.15965,2.37004,1.63473,1.44269,0.001505,0.001505,0.001505
22,37.6512,2.31469,1.57047,1.30255,0.53841,0.45652,0.40676,0.13951,2.37243,1.74626,1.44855,0.00148025,0.00148025,0.00148025
23,38.8977,2.27257,1.4874,1.32493,0.50944,0.47101,0.39635,0.14013,2.34537,1.63696,1.44952,0.0014555,0.0014555,0.0014555
24,40.163,2.25319,1.49129,1.33162,0.55704,0.44654,0.40673,0.14126,2.41682,1.63547,1.46525,0.00143075,0.00143075,0.00143075
25,41.4313,2.35539,1.58754,1.31832,0.56366,0.39855,0.40652,0.13512,2.45417,1.64582,1.45555,0.001406,0.001406,0.001406
26,42.69,2.29667,1.54352,1.32069,0.58301,0.48631,0.47036,0.17246,2.29271,1.5166,1.42913,0.00138125,0.00138125,0.00138125
27,44.0432,2.28376,1.4776,1.31598,0.6328,0.44203,0.43675,0.16587,2.29196,1.51971,1.41916,0.0013565,0.0013565,0.0013565
28,45.3092,2.26174,1.48917,1.33062,0.58985,0.46377,0.45276,0.15992,2.32919,1.52254,1.42553,0.00133175,0.00133175,0.00133175
29,46.5531,2.15553,1.47443,1.31514,0.57483,0.45068,0.46583,0.16334,2.37615,1.54481,1.41292,0.001307,0.001307,0.001307
30,47.811,2.25608,1.47515,1.3316,0.56047,0.48975,0.44136,0.15125,2.30887,1.54436,1.40876,0.00128225,0.00128225,0.00128225
31,49.0694,2.20181,1.45653,1.31203,0.53419,0.45652,0.44127,0.15413,2.33943,1.56678,1.4133,0.0012575,0.0012575,0.0012575
32,50.3477,2.1772,1.43446,1.28752,0.60457,0.44203,0.45754,0.14709,2.37893,1.5317,1.42797,0.00123275,0.00123275,0.00123275
33,51.6173,2.2567,1.39775,1.30268,0.59113,0.48551,0.48312,0.15902,2.32252,1.52864,1.39471,0.001208,0.001208,0.001208
34,52.8988,2.16297,1.36491,1.26749,0.57705,0.48551,0.46221,0.15626,2.29943,1.53007,1.39003,0.00118325,0.00118325,0.00118325
35,54.1996,2.18141,1.40354,1.2598,0.49198,0.52174,0.44553,0.1679,2.26802,1.47318,1.4151,0.0011585,0.0011585,0.0011585
36,55.4643,2.21801,1.39896,1.29048,0.59383,0.5,0.47294,0.17709,2.27181,1.5011,1.40021,0.00113375,0.00113375,0.00113375
37,56.8056,2.10513,1.41085,1.30378,0.59427,0.50725,0.46915,0.1691,2.31666,1.4739,1.42412,0.001109,0.001109,0.001109
38,58.0874,2.1232,1.40234,1.31864,0.60969,0.46409,0.48325,0.18233,2.28942,1.44631,1.41408,0.00108425,0.00108425,0.00108425
39,59.3635,2.12487,1.34244,1.29989,0.6157,0.45652,0.4562,0.16036,2.36162,1.50427,1.42183,0.0010595,0.0010595,0.0010595
40,60.649,2.16537,1.37581,1.26235,0.60352,0.52899,0.485,0.17933,2.34564,1.50173,1.42781,0.00103475,0.00103475,0.00103475
