epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24117,3.53843,3.91703,2.39868,0.00033,0.01031,1e-05,0,3.47887,3.94114,2.59547,8e-05,8e-05,8e-05
2,6.89866,3.35915,3.81622,2.19995,0.00367,0.1134,0.0006,0.00013,3.16091,3.79181,2.16712,0.000177773,0.000177773,0.000177773
3,7.45348,3.35638,3.65795,1.91274,0.01067,0.3299,0.00441,0.00098,3.31462,3.64526,1.89437,0.00027307,0.00027307,0.00027307
4,8.0501,3.32819,3.67651,1.65406,0.00933,0.28866,0.00806,0.00204,3.39169,3.66966,1.9148,0.000365893,0.000365893,0.000365893
5,8.62338,3.23332,3.22535,1.67197,0.00733,0.2268,0.02989,0.00663,3.6039,3.70931,2.03168,0.00045624,0.00045624,0.00045624
6,9.17313,3.18901,2.97929,1.6192,0.008,0.24742,0.02544,0.00678,3.62284,3.7215,1.97691,0.000544113,0.000544113,0.000544113
7,9.75161,3.12029,2.78663,1.68777,0.00933,0.28866,0.01374,0.00331,3.59927,3.58139,1.98708,0.00062951,0.00062951,0.00062951
8,10.3334,3.19988,2.61938,1.63047,0.01267,0.39175,0.00853,0.00216,3.24409,3.39524,1.93512,0.000712432,0.000712432,0.000712432
9,10.9228,3.01768,2.60247,1.66563,0.01333,0.41237,0.00868,0.002,3.11152,3.28337,1.77513,0.00079288,0.00079288,0.00079288
10,11.5204,3.09681,2.41234,1.61326,0.01433,0.4433,0.00871,0.00185,3.52219,3.34399,1.94005,0.000870853,0.000870853,0.000870853
11,12.0892,3.09186,2.45536,1.5982,0.01467,0.45361,0.03187,0.00811,3.15634,3.12236,1.75906,0.00094635,0.00094635,0.00094635
12,12.652,3.11418,2.35602,1.57369,0.01833,0.56701,0.08597,0.02262,2.97468,3.08383,1.73002,0.00101937,0.00101937,0.00101937
13,13.1999,3.10148,2.48384,1.67544,0.15346,0.12371,0.07482,0.02183,2.98716,3.05466,1.76796,0.00108992,0.00108992,0.00108992
14,13.7597,2.98005,2.3398,1.63234,0.15346,0.12371,0.07482,0.02183,2.98716,3.05466,1.76796,0.00115799,0.00115799,0.00115799
15,14.3299,3.05869,2.32466,1.66567,0.017,0.52577,0.06927,0.02132,3.00684,3.0944,1.80749,0.00122359,0.00122359,0.00122359
16,14.8995,3.00499,2.269,1.69932,0.01467,0.45361,0.05765,0.01969,2.94505,3.10837,1.76813,0.00128671,0.00128671,0.00128671
